scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
Educational Assistance (Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB),Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"Value of the Scholarship: 1.	The rate of the scholarship for different courses/subjects is as follows: Sl. No. Level of Study Stipend (Per Month) 1 Degree â‚¹800/- 2 Diploma â‚¹600/- 3 Certificate course â‚¹600/- 4 Class XI & XII â‚¹600/- 5 Class VIII to X â‚¹500/- 6 Class V to VII â‚¹400/- 2. Readerâ€™s charges for Blind students (Blind Scholars): Blind Students/Scholars will be given an additional amount of â‚¹200/- per month as ""Readers charges subject to production of disability certificate issued by the competent authority"". 3. A One Time Book and Uniform Grant to students at 2 months stipend will be granted for the students of the following group of classes: Sl. No. Class/Course Grant Amount (One time Grant) 1 Class I- Class II â‚¹400/- 2 Class III- Class IV â‚¹600/- 3 Class 5 - Class 7 â‚¹800/- 4 Class 8 - Class 10 â‚¹1,000/- 5 Class 11 - Class 12 â‚¹1,200/- 6 Certificate course â‚¹1,200/- 7 Diploma course â‚¹1,200/- 8 Degree course â‚¹1,600/- Note: The rates and the type of courses for which the scholarship will be granted are subject to revision from time to time. Duration of Awards: The award once made will be tenable from the stage at which it is given to the completion of the course, subject to good conduct and regular attendance. Noncompliance with any of the eligibility conditions and rules may cause the discontinuity of the scholarship at any time. Payment: The stipend will be paid to the selected students by the Building & Other Construction Workers Welfare Board in accordance with the procedure laid down by the Building & Other Construction Workers Welfare Board.","Enclosures required for New Registration under MBOCWWB: Photograph of the worker ID Proof of worker (Electoral Card, Ration Card, Driver's License, Aadhaar Card, Passport are acceptable) Employer Certificate/Self Certification (Issued Either by the Labour Inspector or the Employer or SDO/AEE of Works Department) Bank Passbook of the worker eShram ID card, if any Age proof of concerned building worker/applicant i.e. School certificate, Certificate from the Registrar of Birth and Deaths, Certificate from the Medical Officer not below the rank of an Assistant Surgeon in Government Service, Electoral Photo Identity Card Nomination Form duly signed by the applicant Self-declaration towards non-enrolment as a member of any other welfare fund/ board SC/ST Certificate (if applicable) Any other documents as required Enclosures required for application of Educational Assistance: MBOCWWB ID Card Birth Certificate of the student Two copies of passport-size photograph with signature of student thereon One attested copy of each of the relevant certificates with respect to the examination passed by the student Attested copy of the Constitution workers' registration card A receipt in acknowledgment of the scholarship in the previous year, if the student was in receipt of a scholarship under this Scheme in the preceding year Annual Course Fee of the student from the School/Institute Concern, if any ï»¿ Clearance Certificate by the Head of the Institution ï»¿ Verification/Information Certificate by the Head of the Institution Bank account details/ Bank Passbook Any other documents as required",
Educational Assistance For Children Of Victims Of Crime,Karnataka,"Social welfare & Empowerment, Education & Learning",,State,"Under the scheme, the following financial assistance will be given to the eligible applicant: Sl. No. Classes/Courses Amount of Assistance 1 Children studying in classes 1 to 5 â‚¹3000/- per year 2 Children studying in classes 6 to 10 â‚¹5000/- per year 3 Higher Secondary â‚¹7500/- per year 4 Graduate students â‚¹10,000/- per year 5 PG/M.Phil course students â‚¹15,000/- per year Note: The amount will be transferred to the joint account of the child and the current parent.","Copy of Aadhaar card Mobile number Email id Passport Size Photograph Copy of Ration Card (Submit the page containing the name of the ration card holder and the page containing the family members together) Certificate from the school attended by the student Income Certificate Certificate from Ward Councillor/Member or Panchayat/Nagar Sabha Chairperson/Chairman or Local Station House Officer Copy of FIR Copy of Bank Passbook- Joint bank account details of student and parent Other documents, if any",
Educational Assistance To Children Of Prisoners,Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"Under the scheme, scholarship/financial assistance will be provided to the children of prisoners for their expenses like food, clothing, school fees, etc. as under: Sl. No. Classes/Courses Amount of Scholarship/Financial Assistance 1 1st Std. to 5th Std. â‚¹500/- per month 2 6th Std. to 10th Std. â‚¹750/- per month 3 +1 (Plus one) & +2 (Plus two) â‚¹1000/- per month 4 Degree/Professional Course â‚¹1500/- per month Note: Degree/ Professional course must be in Government/ Aided colleges inside Kerala.","Copy of Aadhaar card Mobile number Email id Passport size photo Copy of Ration Card (Submit the page containing the name of the ration card holder and the page containing the family members together) ï»¿ Certificate from the school attended by the student ï»¿ Affidavit of Jail Superintendent Bank details- Copy of Passbook Other documents, if any",
Educational Assistance To Children Of Prisoners (Pursuing Professional Course),Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"Under the scheme, State Government is providing assistance amount of â‚¹100,000/- (per student) to the children of prisoners for pursuing degree-level professional courses in Government / Aided colleges. Note 01: The assistance amount also includes annual fees & hostel fees. Note 02: The assistance will be given to more than one child belonging to a single family.","Copy of Aadhaar card Mobile number Email id Passport size photo Copy of Ration Card ï»¿ Certificate from the college with the annual fee, hostel fee, bank account number of the college, IFSC number, and proof that the student has been admitted to the merit seat Copy of the previous year's certificate ï»¿ Jail Superintendent's Certificate ï»¿ Other documents, if any Note: If the Name of the convictâ€™s child has not been included in the Ration card, then the applicant has to submit the Village officerâ€™s declaration statement specifying that the applicant is the daughter/son of the convict. ï»¿",
Educational Assistance for Degree Course,Karnataka,Education & Learning,,State,"Financial assistance of â‚¹20,000/- per year for undergraduate students. ï»¿ ï»¿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide of Admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿ ï»¿,
Educational Assistance for Government Recognised Diploma Courses,Karnataka,Education & Learning,,State,"Financial Assistance For: Government Recognized Diploma Courses- â‚¹20,000/- Postgraduate Diploma Courses- â‚¹25,000/- ï»¿ NOTE: Benefit applies to a maximum of two children and to the wife of registered male workers.",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide for admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿ ï»¿,
Educational Assistance for Medical and Engineering Courses,Karnataka,Education & Learning,,State,"Financial Assistance For: Medical Degree: â‚¹1,00,000/- Engineering Degree: â‚¹60,000/-",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide for admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿ ï»¿,
Educational Assistance to Children of Women Headed Families,Karnataka,"Social welfare & Empowerment, Education & Learning",,State,1.	Category I - Children below 5 years and between 1st to 5th standard: â‚¹300/- per month 2.	Category II - Between 6th to 10th standard: â‚¹500/- per month 3.	Category III - Plus one (11th Standard) & Plus two (12th Standard): â‚¹750/- per month 4.	Category IV - Degree and above: â‚¹1000/- per month,Identity proof i.e. Aadhaar card etc. Passport-size photograph Below Poverty Line (BPL) card Residence proof Ration card Educational details of the child (previous exam mark sheet and bonafide certificate) Bank account details A certificate from the head of the educational institution where the child studies that the child is not availing of any other scholarship.,
Educational Assistance to the 10th to 12th Students,Karnataka,Education & Learning,,State,"Financial assistance of â‚¹10,000/- for children scoring 50% or more in 10th or 12th standard exams.",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet for at least 50% or more secured marks. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿,
Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,Karnataka,Education & Learning,,State,"Financial Assistance: 1 st to 7 th Class: â‚¹2,500/- 8 th to 10 th Class: â‚¹5,000/- ï»¿ ï»¿",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. School Certificate of 75% Attendance. Proof of Residence (One of Aadhaar Card/Passport/Driving License/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿ ï»¿,
Educational Assistance to the Children of the Registered Worker Studying in 11th and 12th Standard,Karnataka,Education & Learning,,State,"Financial assistance of â‚¹10,000 per year for children studying in 11th and 12th grades. ï»¿ Note: Benefit applies to up to two children and the wife of a registered worker.",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. MarkSheet for 11th or 12th standard. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ï»¿ ï»¿,
Educational Award Scheme - Gujarat Labour Welfare Board,Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"Under the scheme, children of laborers who have passed 70% or above marks in the 10th Standard will receive â‚¹2,500/- as an award. The children of laborers who have passed 70% or above marks in the 12th Standard will receive â‚¹5,000/- as an award.","Passport-size Photograph ID Card of Labour Aadhaar Card of Labour Labour Welfare Fund Account Number Ration Card Caste Category certificate, if applicable Residence proof Bank account details/Bank Passbook Marksheet of Child/Passing Certificate Identity proof of Child i.e. Aadhaar Card Any other documents as required",
Educational Study Scheme,Karnataka,"Education & Learning, Banking,Financial Services and Insurance, Social welfare & Empowerment",,State,"Financial Assistance:  A loan of the total tuition fee of the entire course or â‚¹10,00,000/-, whichever is less, will be provided by the Corporation at a simple interest of 4%. Collateral: For loans of total loan amount of â‚¹7,50,000/- or less for the entire course, a charge of one and a half times the loan amount will have to be registered on the beneficiary's own or relative's property. If the total loan amount for the entire course is more than â‚¹7,50,000/-, the immovable property of oneself or any other relative equal to that total amount will have to be mortgaged in favor of the Corporation. Loan repayment: In case of total loan up to â‚¹5,00,000/-, the loan amount along with interest will have to be repaid in equal monthly installments over 5 (five) years, 1 year after completion of studies. In case of loan of more than â‚¹5,00,000/-, the loan amount along with interest will have to be repaid in equal monthly installments over 6 (six) years, starting 1 year after completion of studies. The loan amount being repaid will be credited first as interest. The borrower can repay the loan even before the specified time limit.",School Leaving Certificate (or Birth Certificate) Aadhaar Card Copy Ration Card Copy Residence Proof Annual Family Income Certificate Non-Reserved Category Certificate IT Return Class 10th & Class 12th Marksheet Copy (or Diploma Certificate) Proof of the period between graduation & application date (if applicable),
Eklavya Prashikshan Yojana,Karnataka,Education & Learning,,State,"â‚¹2,500/- monthly stipends per student during the coaching period. Coaching will be provided by nationally reputed institutions within Jharkhand.",Color Photograph of the student. Signature of the student. Studentâ€™s Aadhaar Card. Class 10 TH Certificate and Marksheet. Class 12 TH Certificate. Residence Certificate. Income Certificate. Self-attested Copy of ration card for National/State Food Security Scheme covered student. Caste Certificate (issued by Sub-Divisional Officer/Circle Officer).,
"Eklavya Prashikshan Yojana - Coaching To Scheduled Tribe Student Studying In Class Xth, XIth & XIIth",Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"The student shall be reimbursed 75% of the fees paid (upto a ceiling of â‚¹ 10,000/- per annum per subject in rural areas and â‚¹ 12,000/- per annum per subject in urban areas) to the coaching institute upon submission of the fee receipt that is duly certified by the competent authority of the coaching institute. ï»¿ 50% of the Fees: Reimbursed as a first instalment during the First Term of the Academic year upon submission of the fee receipt. 25% of the Fees: Reimbursed as a second instalment upon the submission of the Attendance Certificate of the First Term. ï»¿ Mode of Payment The payment shall be done in the Direct Benefit Transfer mode upon submission of the fee receipt along with the fee structure duly certified by the competent authority of the coaching institute.",Caste Certificate of the student. Birth Certificate of the student. Aadhar Card of the student. Bank Mandate form along with account details of the student. Identity Card issued by the educational institute to the student. Fee receipt along with the fee structure of the courses offered by the coaching institute group-wise. Certificate of Registration issued to the Coaching Institute by competent authorities. Fee Structure of the courses/subjects offered by the Coaching Institute.,
Emeritus Fellowship,Karnataka,Education & Learning,,Central,"The assistance available under the scheme is: ï»¿ Honorarium of Rs. 31,000/- p.m. for two years (non-extendable) Contingency grant (non-lapsable) of Rs. 50,000/- p.a. towards secretarial assistance, travel within the country connected with the research project, stationery, postage, consumables, books and journals and equipment. However, books, journals and equipment etc. procured out of the contingency grant will be the property of the university/college/institute. Foreign visit in connection with the approved research work of the awardee will be limited to once in a year with the prior approval/no-objection of the Institution/University where the project work is being undertaken along with that of UGC. This will be further subject to no financial liability on the part of UGC. The expenditure would be accounted for audit by the university department concerned like any other departmental expenditure. The Emeritus Fellow would be entitled to such other privileges including medical facilities as available to the university faculty members, but not housing.","Aadhaar Card Undertaking Certificate https://emeritus.ugc.ac.in/Downloads/Emeritus%20Fellowship-Undertaking-Form.pdf ï»¿ Copy of the Award Letter and Joining Report with photograph, address and contact number Continuation Certificate Form for submitting accounts of contingency grants and the Utilization certificate",
Employability Excellence with College Education & Learning (EXCEL),Karnataka,Skills & Employment,,State,"Provides training alongside traditional education in college campuses. Enhances employability through life skills, communication, and domain-specific training. Free-of-cost training conducted within existing college infrastructure. ï»¿",Aadhaar Card. Educational Certificate. Residential Certificate. Passport-sized Photograph.,
Employee Health Scheme,Karnataka,Health & Wellness,,State,"In-Patient Treatment: The Employee Health Scheme (EHS) aims to provide cashless hospitalization to eligible beneficiaries such as employees, pensioners, and their dependents. The scheme covers listed therapies for identified diseases, providing end-to-end cashless services until 10 days post-discharge, including coverage of complications up to 30 days post-discharge. Additionally, free out-patient evaluation is available for listed therapies. Follow-Up Service: The EHS provides follow-up services up to 1-year, including consultation, investigation, drugs, etc., on listed therapies. The scheme offers packages that cover a range of services for eligible beneficiaries. Out-Patient Treatment for Chronic Diseases: The scheme covers treatment of pre-defined chronic diseases at notified hospitals. This is aimed at ensuring the well-being of beneficiaries suffering from chronic illnesses. Hospital Stay: Depending on their pay grade, eligible beneficiaries are provided with hospital stays in either semi-private or private wards. Slab A (Pay Grades â€“ I to IV) is entitled to a semi-private ward, Slab B (Pay Grades â€“ V to XVII) is entitled to a semi-private ward, and Slab C (Pay Grades â€“ XVIII to XXXII) is entitled to a private ward. Financial Coverage: The EHS provides financial coverage of up to Rs. 2 lakhs per episode of illness, If packages exceed the â‚¹2 Lakhs limit, the above sum does not apply; Claims above â‚¹2 Lakhs are directed for settlement to the CEO of the Aarogyasri Trust",Aadhaar Card: Scan your Aadhaar Card and ensure the photo and the Aadhaar Number are clearly visible. Photograph: A scan of a 45mm x 35mm ICAO compliant passport size colour photograph of 200Kb size. Disability Certificates (if any) Spouseâ€™s Pensioner ID/Employee ID: A scanned copy of the spouse In case working in the State Government or is a Service Pensioner. Date of Birth Certificate: A scan of the DOB Certificate of dependent family members less than 5 years of age.,
Employees Cooperative Societies Surety Loan,Karnataka,"Banking,Financial Services and Insurance",,State,"Access to Loan: Surety loans up to â‚¹1,50,000/-. Interest Rate: 14% (subject to change). ï»¿","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of employment or Income Certificate (if applicable). Any other documents (if required). ï»¿",
Employees' Pension Scheme,Karnataka,"Social welfare & Empowerment, Skills & Employment",,Central,"Superannuation Pension: Payable to members who retire at 58 years with at least 10 years of eligible service. Calculated as (Pensionable Salary Ã— Pensionable Service) / 70. Early Pension: Reduced pension for members retiring between 50-58 years, with a 4% reduction per year below 58. Payable if the member has rendered eligible service of 10 years or more. Monthly Member's Pension: Calculated as (Pensionable Salary Ã— Pensionable Service) / 70. Minimum Pension: â‚¹1,000 per month, subject to deductions for commutation or early pension. Widow Pension: 50% of the member's pension or â‚¹450/month, whichever is higher. Children Pension: 25% of widow pension per child (max 2 children). Orphan Pension: 75% of the widow pension if no surviving spouse (max 2 orphans). Permanent Total Disablement Pension: Minimum â‚¹250/- per month if the member is permanently disabled during service. Withdrawal Benefit: For members who exit before completing 10 years of service, calculated as per Table D. ï»¿ Disbursement Conditions Pension starts from the date following the member's retirement, disablement, or death. Early pension is reduced by 4% for each year the age falls short of 58 years. Deferred pension increases by 4% for each year beyond 58 years, up to 60 years. Family pension ceases on widow's remarriage or death. Mode of Disbursement: Through Post Office, Nationalised Banks, or electronic transfer.","Identity Proof (Aadhaar/Passport/Voter ID) Bank Account Details (Cancelled cheque/passbook copy) Proof of Date of Birth (Birth certificate/School leaving certificate) Death Certificate (for family pension) relationship proof (for family pension) Disability Certificate, from EPFO-approved doctors (for disablement pension) Service Proof (EPF passbook/employment records)",
Empower ST/SC Communities using ICT Tools through IT Knowledge Centre (ITKC),Karnataka,Skills & Employment,,State,"Name of the Course: Certificate in Basic IT Skills; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 1,000/- Name of the Course: Certificate of Basic Internet; Duration (in Weeks): 3; Fees (in â‚¹) (excluding taxes): 750/- Name of the Course: MS Word; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 1,000/- Name of the Course: MS Excel; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 1,000/- Name of the Course: MS PowerPoint; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 1,000/- Name of the Course: Certificate of MS Office skills; Duration (in Weeks): 12; Fees (in â‚¹) (excluding taxes): 2500/- Name of the Course: DTP course with Photoshop and PageMaker; Duration (in Weeks): 13; Fees (in â‚¹) (excluding taxes): 5,000/- Name of the Course: Accounting with Tally; Duration (in Weeks): 10; Fees (in â‚¹) (excluding taxes): 3,000/- Name of the Course: Web Designing course with Front Page / Dreamweaver; Duration (in Weeks): 12; Fees (in â‚¹) (excluding taxes): 3,000/- Name of the Course: Course in CorelDraw; Duration (in Weeks): 5; Fees (in â‚¹) (excluding taxes): 3,000/- Name of the Course: Course in Photoshop; Duration (in Weeks): 5; Fees (in â‚¹) (excluding taxes): 3,000/- Name of the Course: Programming in C++; Duration (in Weeks): 5; Fees (in â‚¹) (excluding taxes): 2500/- Name of the Course: Programming in C; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 2,000/- Name of the Course: Course in ASP.NET; Duration (in Weeks): 6; Fees (in â‚¹) (excluding taxes): 4,000/- Name of the Course: Programming in VB.NET; Duration (in Weeks): 6; Fees (in â‚¹) (excluding taxes): 4,000/- Name of the Course: Course in JSP; Duration (in Weeks): 6; Fees (in â‚¹) (excluding taxes): 4,000/- Name of the Course: Course in J2EE; Duration (in Weeks): 6; Fees (in â‚¹) (excluding taxes): 4,000/- Name of the Course: Course in AutoCAD; Duration (in Weeks): 5; Fees (in â‚¹) (excluding taxes): 4,000/- Name of the Course: Course in Adobe After Effects; Duration (in Weeks): 4; Fees (in â‚¹) (excluding taxes): 2500/- Name of the Course: Diploma in MS Office and DTP; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 7,000/- Name of the Course: Diploma in MS Office and web designing; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 5,000/- Name of the Course: Diploma in Web Designing and DTP; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 7500/- Name of the Course: Diploma in J2EE and JSP technology; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 15,000/- Name of the Course: Diploma in .NET Technology; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 15,000/- Name of the Course: Diploma in LAMP; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 15,000/- Name of the Course: Diploma in MS Office & Tally; Duration (in Weeks): 26; Fees (in â‚¹) (excluding taxes): 5500/- Name of the Course: Soft Skill Development Course; Duration (in Weeks): 1; Fees (in â‚¹) (excluding taxes): 6,000/- Name of the Course: Basics in Hardware and Networking; Duration (in Weeks): 7; Fees (in â‚¹) (excluding taxes): 8,000/- Name of the Course: Course in Mobile Repairing; Duration (in Weeks): 8; Fees (in â‚¹) (excluding taxes): 8,000/-","One Copy of the Application Form as Prescribed. One Copy of Passport Size Photograph With Signature of the Applicants Thereon. Self-Attested Copy of Caste Certificate/ Social Status Certificate issued by the Deputy Collector, in case of applicant belonging to SC/ST Communities. Self-Attested Copy of Education Qualification. Self-Attested Copy of Birth Certificate. Self-Attested Copy of Aadhaar Card. * No need to produce a Residence Certificate to avail the benefit of this scheme.",
Encouragement Scheme for Taking Admission in Science and Contemporary Subjects,Karnataka,Education & Learning,,State,"Under this scheme, scholarships will be provided to Scheduled Tribe students at the following rates: Students who passed Class 10th and are enrolled in Class 11th in the Science stream: â‚¹2,000/- Students who passed Class 12th and are enrolled in a B.Sc. course in Physics, Chemistry, Mathematics, or Biology: â‚¹3,000/-",1.	Passport-size Photograph 2.	Aadhaar card 3.	Domicile certificate of Madhya Pradesh 4.	Caste certificate 5.	Income certificate 6.	Previous class passing marksheet 7.	Samagra ID 8.	Bank account details/Bank Passbook 9.	Other necessary documents if required,
Endeavour To Empower-Skill Development,Karnataka,Business & Entrepreneurship,,State,"The trainings are given in focus sectors at Tourism, IT, handicrafts, Retail, Agriculture, construction, and other focus sectors of Jammu & Kashmir.",,
Entrepreneur Support Scheme,Karnataka,Business & Entrepreneurship,,State,"Provides Subsidy for the investment in Land, Building, Plant and machinery, Electrification, Essential Office Equipment, Pollution Control Devices, and other fixed assets. For the General Category, assistance is 15% of the capital investment limited to â‚¹30 lakh. For Young (18 to 45 years), Women, SC/ST, and Non-Resident Keralite (NRK) entrepreneurs, the assistance is 25% limited to â‚¹40 lakh. Enterprises in priority sectors are eligible for an additional assistance of 10% limited to â‚¹10 lakh. MSMEs started in the districts of Idukki, Wayanad, Kasargode and Pathanamthitta are eligible for an additional support of 10% limited to â‚¹10 lakh. Enterprises set up after acquiring new technology from approved research institutions are eligible for additional support of 10% limited to â‚¹10 lakh. The total eligible assistance for an enterprise is limited to â‚¹40 lakh.","(a)	Common to all assistances viz. Startup, Investment and Technology Support: Passport size photo Proof of age- to be supported with any proof and mandatory only in case applying for assistance for young entrepreneurs Acknowledgement receipt during filing the application online Self-attested copy of Challan/receipt towards payment of fees Copy of Voters ID/Passport/Ration Card/Driving license of the promoter/promoters (attested by Gazetted officer) (in case applying for assistance under young entrepreneurs the document furnished shall show the Date of birth of the applicant) Self-attested copy of resolution towards applying for this assistance in case of units other than proprietary Self-attested copy of Acknowledgement of EM (EM part I in case of an application for Start-up support and part II for other assistance) Copy of Caste Certificate (attested by Gazetted officer) (in case applying for assistance under SC/ST entrepreneurs) Copy of the Project Report (Self attested) Bank account details (b)	For Start-up Support {in addition to 1-10 above (a)} (to be furnished after the Term Loan is sanctioned by the Financial Institution) Copy of Project Report (attested by Financial Institution) Recommendation letter of the financial institution ( Annexure - IV ) in original A copy of the Term Loan sanction letter of the Financial Institution (attested by the financial institution) (c) For Investment Support {in addition to 1-10 above (a) } In case of belated application, request for condonation for delay in filing application Self-attested copy of the partnership deed/Memorandum and Articles of Association/Bye-laws in case of units other than proprietary Self-attested copy of the registration certificate from Registrar of Company/Firm/Society of units other than proprietary Self-attested copy of audited balanced sheet with trade & profit loss statement and details of FCI Self-attested copy of valid licence from local body Self-attested copies of sales bills Self-attested copy of consumer card of KSEB showing Contract demand and date of power connection with a copy of the last electricity bill Land: Copy of title/lease deed/Allotment order and remittance particulars in case of DA, DP etc. and fair value of land from the concerned revenue authority. Land Development costs: Certificate from a Civil Engineer ( Annexure â€“ VII ) not below the rank of an Assistant Executive Engineer of a Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India. Building: Copy of title deed/lease deed of land (only in case the land is not claimed), approved plan, estimate and valuation certificate from the Civil Engineer ( Annexure â€“ VII ) not below the rank of an Assistant Executive Engineer of Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India. Plant & Machinery: Copy of invoices/bills with proof of payment (cash receipt/certificate from the financial institution; in case of machinery purchased from outside the state, copy of invoice shall be affixed with the stamp from the concerned taxes check post), Bill of entry for imported machinery and in case of fabricated machinery, Certificate of a Mechanical Engineer ( Annexure â€“VIII ) not below the rank of an Assistant Executive Engineer of Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India with regard to material costs and labour costs. Electrification costs: Copy of invoices/bills (including power connection charges, transformer costs etc.) with proof of payment (cash receipt/certificate from the financial institution) and in case the electrification costs is above â‚¹50,000/-, a valuation Certificate of an Electrical Engineer ( Annexure â€“ IX ) not below the rank of an Assistant Executive Engineer, Electrical Inspectorate/Kerala State Electricity Board or Chartered Engineer, Institution of Engineers India / Approved Valuer of Institution of Valuers, India Generator Set/Other energy generating Equipment: Copy of invoices/bills with proof of payment (cash receipt/certificate from the financial institution), Valuation certificate of an Electrical Engineer ( Annexure â€“ IX ) not below the rank of an Assistant Executive Engineer of Electrical Inspectorate/Kerala State Electricity Board or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India and copy of Installation permit/Energization order from Electrical Inspectorate towards the Generator set Testing Equipment: Copy of invoices/bills with proof of payment (cash receipt/certificate from the financial institution) and valuation certificate of a Mechanical Engineer ( Annexure â€“ VIII ) not below the rank of an Assistant Executive Engineer of Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India. Pollution Control Devices: Copy of invoices/bills with proof of payment (cash receipt/certificate from the financial institution), valuation certificate of a Mechanical Engineer ( Annexure â€“ VIII ) not below the rank of an Assistant Executive Engineer of Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India and self-attested copy of consent letter from the Kerala State Pollution Control Board. Essential Office/Water & waste recycling/rain harvesting equipment: Copy of invoices/bills with proof of payment (cash receipt/certificate from the financial institution), Valuation certificate of a Mechanical Engineer ( Annexure â€“ VIII ) not below the rank of an Assistant Executive Engineer of Government Department (Industries, PWD, LSGD, Irrigation, etc) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India. (d) For Technology Support {in addition to 1 â€“ 8 under (a) plus 1 to 4 under (c)} Self-attested copy of order and proof of payment of consultancy/technology transfer costs Self-attested copy of invoices/bills with proof of payment of the new Plant & machinery Valuation certificate of a Mechanical Engineer ( Annexure â€“ VIII ) not below the rank of an Assistant Executive Engineer of a Government Department (Industries, PWD, LSGD, Irrigation, etc.) or a Chartered Engineer, Institution of Engineers India/Approved Valuer of Institution of Valuers, India. Certificate from the research institution to the effect that the technology is new. Note: In case a document pertaining to a particular detail has already been furnished under any of the applications viz. Part B/C/D, then further production of the same is not necessary. ï»¿",
